,source_firm,target_num,citation_count,application_date
0,"SZDJITECHNOLOGYCO.,LTD.",CN102909540B,4,2016
1,"SZDJITECHNOLOGYCO.,LTD.",CN102909540B,1,2018
2,ASCENDINGTECHNOLOGIESGMBH,DE10-2013-019098B3,1,2016
3,MichaelPALBERG,DE10-2013-019098B3,1,2018
4,JurgenRESCH,DE10-2013-019098B3,1,2018
5,OliverFENKER,DE10-2013-019098B3,1,2018
6,ArchonTechnologiesS.R.L.,DE10-2007-003458A1,1,2019
7,Niederberger-EngineeringAG,DE10-2007-003458A1,1,2014
8,DavideVENTURELLI,DE10-2007-003458A1,1,2016
9,RobertoNAVCNI,DE10-2007-003458A1,1,2016
10,NIGHTINGALEINTELLIGENTSYSTEMS,EP2644438B1,1,2019
11,ZiplineInternationalInc.,EP2664539B1,2,2019
12,ZIPLINEINTERNATIONALINC.,EP2664539B1,1,2018
13,NIGHTINGALEINTELLIGENTSYSTEMS,EP2664539B1,1,2017
14,ZIPLINEINTERNATIONALINC.,EP2664539B1,1,2016
15,VERITYAG,JP2015-042539A,4,2021
16,VERITYAG,JP2015-042539A,1,2020
17,HONGOAEROSPACEINC.,JP2015-042539A,1,2020
18,HONGOAEROSPACEINC.,JP2015-042539A,1,2017
19,PanasonicIntellectualPropertyCorporationofAmerica,JP6224347B2,1,2017
20,"MITSUBISHIHEAVYINDUSTRIES,LTD.",JP6180765B2,1,2015
21,KDDICORPORATION,JP2014-031118A,1,2020
22,"SZDJITECHNOLOGYCO.,LTD.",JP2014-031118A,1,2019
23,KDDICORPORATION,JP2014-031118A,1,2019
24,NECCorporation,JP2014-031118A,1,2016
25,"ExpressScriptsStrategicDevelopment,Inc.",US9056676B1,4,2020
26,DaimlerAG,US9056676B1,4,2017
27,"SZDJITECHNOLOGYCO.,LTD.",US9056676B1,7,2018
28,SaudiArabianOilCompany,US9056676B1,4,2020
29,KINGABDULLAHUNIVERSITYOFSCIENCEANDTECHNOLOGY,US9056676B1,4,2020
30,"CowdenTechnologies,LLC",US9056676B1,4,2021
31,StevenM.Hoffberg,US9056676B1,4,2020
32,"AmazonTechnologies,Inc.",US9056676B1,4,2018
33,NECCORPORATION,US9056676B1,4,2018
34,HyundaiMotorCompany,US9056676B1,4,2021
35,KiaCorporation,US9056676B1,4,2021
36,WINGAviationLLC,US9056676B1,4,2020
37,GeneralMotorsLLC,US9056676B1,4,2020
38,"FordGlobalTechnologies,LLC",US9056676B1,4,2020
39,WingAviationLLC,US9056676B1,4,2020
40,ZFFriedrichshafenAG,US9056676B1,1,2018
41,TheBoeingCompany,US9056676B1,1,2019
42,HoneywellInternationalInc.,US9056676B1,1,2019
43,SHAUNPASSLEY,US9056676B1,1,2020
44,GOERTEKINC.,US9056676B1,1,2019
45,SonyCorporation,US9056676B1,1,2020
46,"FordGlobalTechnologies,LLC",US9056676B1,1,2019
47,FEDERALEXPRESSCORPORATION,US9056676B1,1,2017
48,"SUMITOMO(S.H.I.)CONSTRUCTIONMACHINERYCO.,LTD.",US9056676B1,1,2020
49,"FlirteyHoldings,Inc.",US9056676B1,1,2019
50,SHMUELURINNOVATIONLTD,US9056676B1,1,2017
51,WINGAviationLLC,US9056676B1,1,2019
52,DroneDeliveryCanadaInc.,US9056676B1,1,2020
53,"AeroVironment,Inc.",US9056676B1,1,2020
54,"FordGlobalTechnologies,LLC",US9056676B1,2,2017
55,IntelCorporation,US9056676B1,1,2017
56,WarrenF.LeBlanc,US9056676B1,1,2020
57,"AUTELROBOTICSCO.,LTD.",US9056676B1,1,2017
58,"UNITEDPARCELSERVICEOFAMERICA,INC.",US9056676B1,1,2017
59,"GoPro,Inc.",US9056676B1,1,2020
60,"AeroVironment,Inc.",US9056676B1,3,2019
61,"SparkCognition,Inc.",US9056676B1,1,2019
62,"SZDJITECHNOLOGYCO.,LTD.",US9056676B1,2,2019
63,VolocopterGmbH,US9056676B1,1,2017
64,SONYCORPORATION,US9056676B1,1,2019
65,"AEROVIRONMENT,INC.",US9056676B1,1,2019
66,"CanyonNavigation,LLC",US9056676B1,1,2019
67,"FoundationProductions,LLC",US9056676B1,1,2019
68,IntelIPCorporation,US9056676B1,1,2016
69,SebastianGoodman,US9056676B1,1,2018
70,FransMerrild,US9056676B1,1,2018
71,RSQ-SystemsSPRL,US9056676B1,2,2018
72,HYUNDAIMOTORCOMPANY,US9056676B1,1,2018
73,KIAMOTORSCORPORATION,US9056676B1,1,2018
74,DEUTSCHETELEKOMAG,US9056676B1,1,2017
75,"WalmartApollo,LLC",US9056676B1,3,2019
76,DroneDeliveryCanadaCorp.,US9056676B1,1,2016
77,CarolynBryant,US9056676B1,1,2018
78,IainMatthewRussell,US9056676B1,1,2018
79,JEANEDRICEGEORGES,US9056676B1,1,2017
80,FLIRBelgiumBVBA,US9056676B1,1,2019
81,"UnitedParcelServiceofAmerica,Inc.",US9056676B1,7,2018
82,SonyCorporation,US9056676B1,1,2018
83,DroneDeliveryCanadaCorp.,US9056676B1,1,2017
84,DroneDeliveryCanadaCorp.,US9056676B1,1,2018
85,"OrbitFab,Inc.",US9056676B1,1,2018
86,"SpaceArena,Inc.",US9056676B1,1,2018
87,"Rakuten,Inc.",US9056676B1,1,2015
88,STATEFARMMUTUALAUTOMOBILEINSURANCECOMPANY,US9056676B1,1,2017
89,"SUMITOMO(S.H.I.)CONSTRUCTIONMACHINERYCO.,LTD.",US9056676B1,1,2018
90,PlanckAerosystemsInc.,US9056676B1,1,2018
91,"FORDGLOBALTECHNOLOGIES,LLC",US9056676B1,1,2015
92,HosseinRAHNAMA,US9056676B1,1,2016
93,"PinnacleVista,LLC",US9056676B1,1,2017
94,StevenM.Hoffberg,US9056676B1,1,2017
95,InternationalBusinessMachinesCorporation,US9056676B1,2,2018
96,"AEROVIRONMENT,INC.",US9056676B1,1,2018
97,LGELECTRONICSINC.,US9056676B1,1,2015
98,SonyCorporation,US9056676B1,1,2016
99,"AeroVironment,Inc.",US9056676B1,1,2018
100,WellenSham,US9056676B1,1,2018
101,"ZEROCO.,LTD.",US9056676B1,1,2015
102,HYUNDAIMOTORCOMPANY,US9056676B1,1,2017
103,InternationalBusinessMachinesCorporation,US9056676B1,1,2016
104,"AT&TINTELLECTUALPROPERTYI,L.P.",US9056676B1,1,2017
105,AT&TMobilityIILLC,US9056676B1,1,2017
106,QUALCOMMIncorporated,US9056676B1,1,2016
107,"AeroVironment,Inc.",US9056676B1,1,2017
108,"GoPro,Inc.",US9056676B1,1,2017
109,"SZDJITECHNOLOGYCO.,LTD",US9056676B1,1,2017
110,"Wal-MartStores,Inc.",US9056676B1,4,2017
111,THEHI-TECHROBOTICSYSTEMZLTD,US9056676B1,1,2017
112,"FordGlobalTechnologies,LLC",US9481458B2,4,2017
113,MicroMobioCorporation,US9481458B2,4,2020
114,"Asylon,Inc.",US9481458B2,4,2018
115,ISRAELAEROSPACEINDUSTRIESLTD.,US9481458B2,1,2019
116,FLYONAerosystemsLtd.,US9481458B2,1,2019
117,"AmazonTechnologies,Inc.",US9481458B2,1,2019
118,InternationalBusinessMachinesCorporation,US9481458B2,1,2018
119,"AmazonTechnologies,Inc.",US9481458B2,1,2016
120,"AmazonTechnologies,Inc.",US9481458B2,1,2015
121,"AmazonTechnologies,Inc.",US9481458B2,2,2017
122,"UnitedParcelServiceofAmerica,Inc.",US9481458B2,1,2018
123,"Wal-MartStores,Inc.",US9481458B2,1,2017
124,TheBoeingCompany,US9481458B2,1,2009
125,"ExpressScriptsStrategicDevelopment,Inc.",US9384668B2,4,2022
126,"ExpressScriptsStrategicDevelopment,Inc.",US9384668B2,4,2020
127,WorkhorseGroupInc.,US9384668B2,12,2022
128,"FordGlobalTechnologies,LLC",US9384668B2,5,2019
129,STATEFARMMUTUALAUTOMOBILEINSURANCECOMPANY,US9384668B2,4,2022
130,Dr.Ing.h.c.F.PorscheAktiengesellschaft,US9384668B2,4,2019
131,"VESSELAEROSPACECO.,LTD.",US9384668B2,4,2017
132,ImageKeeperLLC,US9384668B2,4,2019
133,WorkhorseGroupInc.,US9384668B2,4,2020
134,WorkhorseGroupInc.,US9384668B2,16,2021
135,LGELECTRONICSINC.,US9384668B2,4,2019
136,UnitedServicesAutomobileAssociation(USAA),US9384668B2,4,2019
137,LawrenceCCorban,US9384668B2,4,2018
138,TRAXXASLP,US9384668B2,4,2016
139,RyanEvaristoPinto,US9384668B2,4,2017
140,"SZDJITECHNOLOGYCO.,LTD.",US9384668B2,8,2019
141,10757969CANADACORPORATION,US9384668B2,8,2018
142,DISHTECHNOLOGIESL.L.C.,US9384668B2,1,2020
143,"FLIRDetection,Inc.",US9384668B2,1,2020
144,"Laitram,L.L.C.",US9384668B2,1,2020
145,"WALMARTAPOLLO,LLC",US9384668B2,1,2017
146,DISHTechnologiesL.L.C.,US9384668B2,1,2018
147,"HONDAMOTORCO.,LTD.",US9384668B2,1,2018
148,"SZDJITECHNOLOGYCO.,LTD.",US9384668B2,1,2020
149,"ETAKSystems,LLC",US9384668B2,1,2020
150,WingAviationLLC,US9384668B2,1,2020
151,"FordGlobalTechnologies,LLC",US9384668B2,1,2017
152,FEDERALEXPRESSCORPORATION,US9384668B2,2,2020
153,"AmazonTechnologies,Inc.",US9384668B2,5,2016
154,WINGAviationLLC,US9384668B2,1,2020
155,TextronInnovationsInc.,US9384668B2,1,2018
156,TelefonaktiebolagetLMEricsson(publ),US9384668B2,1,2017
157,FederalExpressCorporation,US9384668B2,4,2017
158,VERITYSTUDIOSAG,US9384668B2,1,2017
159,"ETAKSystems,LLC",US9384668B2,2,2019
160,"FordGlobalTechnologies,LLC",US9384668B2,1,2018
161,MICROMOBIOCORPORATION,US9384668B2,1,2015
162,Area-IInc.,US9384668B2,1,2019
163,WingAviationLLC,US9384668B2,1,2018
164,"BLACKNIGHTHOLDINGS,LLC",US9384668B2,1,2019
165,"HangzhouZeroZeroTechnologyCo.,Ltd.",US9384668B2,1,2019
166,FlytrexAviationLtd.,US9384668B2,1,2019
167,"WalmartApollo,LLC",US9384668B2,1,2019
168,"GreensightAgronomics,Inc.",US9384668B2,1,2019
169,"AmazonTechnologies,Inc.",US9384668B2,1,2019
170,"UberTechnologies,Inc.",US9384668B2,1,2019
171,"AmazonTechnologies,Inc.",US9384668B2,4,2017
172,XDevelopmentLLC,US9384668B2,1,2019
173,AT&TMobilityIILLC,US9384668B2,1,2019
174,"AmazonTechnologies,Inc.",US9384668B2,1,2018
175,AuroraFlightSciencesCorporation,US9384668B2,1,2017
176,XDevelopmentLLC,US9384668B2,3,2017
177,WingAviationLLC,US9384668B2,4,2017
178,"ETAKSystems,LLC",US9384668B2,1,2016
179,TelefonaktiebolagetLMEricsson(publ),US9384668B2,1,2016
180,"AuroraFlightSciencesCorporation,asubsidiaryofTheBoeingCompany",US9384668B2,1,2018
181,IntelCorporation,US9384668B2,1,2017
182,InternationalBusinessMachinesCorporation,US9384668B2,1,2018
183,"HangzhouZeroZeroTechnologyCo.,Ltd.",US9384668B2,1,2018
184,"AmazonTechnologies,Inc.",US9384668B2,1,2015
185,TELEFONAKTIEBOLAGETLMERICSSON(PUBL),US9384668B2,1,2016
186,RyanWalsh,US9384668B2,1,2018
187,AlexJ.Falesch,US9384668B2,1,2018
188,"AmazonTechnologies,Inc.",US9384668B2,1,2014
189,"HangzhouZeroZeroTechnologyCo.,Ltd",US9384668B2,2,2018
190,"SZDJITECHNOLOGYCO.,LTD.",US9384668B2,1,2015
191,JohnV.Howard,US9384668B2,1,2017
192,TextronAviationInc.,US9384668B2,1,2018
193,"PicPocket,Inc.",US9384668B2,1,2015
194,AT&TMobilityIILLC,US9384668B2,1,2017
195,"Wal-MartStores,Inc.",US9384668B2,1,2018
196,"Laitram,L.L.C.",US9384668B2,1,2016
197,MichaelStewardEvans,US9384668B2,1,2018
198,TheBoeingCompany,US9384668B2,1,2018
199,RichardPostrel,US9384668B2,1,2017
200,WorkhorseGroupInc.,US9384668B2,1,2018
201,"Aevena,Inc.",US9384668B2,1,2016
202,ElwhaLLC,US9384668B2,1,2012
203,"Wal-MartStores,Inc.",US9384668B2,2,2017
204,KOREAINSTITUTEOFCIVILENGINEERINGANDBUILDINGTECHNOLOGY,US9384668B2,1,2016
205,RyanWalsh,US9384668B2,1,2017
206,AlexJ.Falesch,US9384668B2,1,2017
207,XDevelopmentLLC,US9384668B2,1,2016
208,INTERNATIONALBUSINESSMACHINESCORPORATION,US9384668B2,1,2016
209,"T-Mobile,U.S.A.,Inc.",US9384668B2,1,2017
